		subject_id	subject_label	object_id	object_label	predicate_id	match_type	Text Strings Match?	Category 	Comments
Category :									Rows:	
Type difference									21	
		http://purl.obolibrary.org/obo/ENVO_00000542	kame	http://sweetontology.net/realmLandGlacial/Kame	Kame	skos:relatedMatch	HumanCurated	Y	Type difference	In SWEET a kame is a glacial landform - a type of geometrical object; in ENVO a kame is a kind of material entity.
		http://purl.obolibrary.org/obo/ENVO_01001706	cold front	http://sweetontology.net/phenAtmoFront/ColdFront	ColdFront	skos:relatedMatch	HumanCurated	Y	Type difference	"SWEET class is a mathmatical abstraction of a front, so related not candidate for exact. "
		http://purl.obolibrary.org/obo/ENVO_00002236	cryosol	http://sweetontology.net/realmSoil/Cryosol	Cryosol	skos:relatedMatch	HumanCurated	Y	Type difference	"In SWEET this in a classification scheme (a categorical datatype with value Cryosol), not a physical entity as it is represented in ENVO"
		http://purl.obolibrary.org/obo/ENVO_03000143	cryosphere	http://sweetontology.net/realm/Cryosphere	Cryosphere	skos:relatedMatch	HumanCurated	Y	Type difference	"In SWEET this is a realm, while in ENVO it is an astronomical body part, so these are pretty close, however as per the subclassing of hydrosphere in SWEET this can't be a close match with the ENVO term which doesn't imply water."
		http://purl.obolibrary.org/obo/ENVO_00000282	esker	http://sweetontology.net/realmLandGlacial/Esker	Esker	skos:relatedMatch	HumanCurated	Y	Type difference	"In SWEET an esker is a glacial landform - a type of geometrical object, as are ridges but the two terms are parallel concepts; in ENVO an esker is a kind of ridge and a material entity."
		http://purl.obolibrary.org/obo/ENVO_03000137	freezing fog	http://sweetontology.net/phenAtmoFog/FreezingFog	FreezingFog	skos:relatedMatch	HumanCurated	Y	Type difference	In SWEET FreezingFog is a Phenonena; while in ENVO it is an environmental material . 
		http://purl.obolibrary.org/obo/ENVO_03400010	freezing rain	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain	FreezingRain	skos:relatedMatch	HumanCurated	Y	Type difference	"In ENVO we have the process and the object resulting from it the latter here, in SWEET it's the object resulting from the process. "
		http://purl.obolibrary.org/obo/ENVO_01001641	glaciation	http://sweetontology.net/phenCryo/Glaciation	Glaciation	skos:relatedMatch	HumanCurated	Y	Type difference	Glaciation in ENVO refers to the time period when glaciers are growing.
		http://purl.obolibrary.org/obo/CHEBI_76413	greenhouse gas	http://sweetontology.net/matr/GreenhouseGas	GreenhouseGas	skos:relatedMatch	HumanCurated	Y	Type difference	"This mapping is between a role and material entity, important example of semantic clarification provided by more expressive ontology framework, (i.e., there is no material entity that is a greenhouse gas, however certain gasses can bear this greenhouse role). "
		http://purl.obolibrary.org/obo/ENVO_00000145	ice cap	http://sweetontology.net/realmCryo/IceCap	IceCap	skos:relatedMatch	HumanCurated	Y	Type difference	"In ENVO ice cap is a type of ice mass; while in SWEET it is a realm. The notion of realm in SWEET and the way it's subclassed indicates that its top-level semantics need revision. An ice cap is not a realm, but part of a realm (probably). "
		http://purl.obolibrary.org/obo/ENVO_03000139	ice fog	http://sweetontology.net/phenAtmoFog/IceFog	IceFog	skos:relatedMatch	HumanCurated	Y	Type difference	In SWEET this is a Phenonena; while in ENVO it is an environmental material . 
		http://purl.obolibrary.org/obo/ENVO_00000134	permafrost	http://sweetontology.net/realmSoil/Permafrost	Permafrost	skos:relatedMatch	HumanCurated	Y	Type difference	"In SWEET this is a 3-D geospatial entity, instead of ENVO's environmental material."
		http://purl.obolibrary.org/obo/ENVO_01001879	proglacial	http://sweetontology.net/phenCryo/Proglacial	Proglacial	skos:relatedMatch	HumanCurated	Y	Type difference	SWEET has this in the phenomenon branch while it is a quality in ENVO
		http://purl.obolibrary.org/obo/ENVO_00000311	sandur	http://sweetontology.net/realmLandGlacial/Sandur	Sandur	skos:relatedMatch	HumanCurated	Y	Type difference	"In SWEET this is a geometric object, while in ENVO it is a material entity."
		http://purl.obolibrary.org/obo/ENVO_03000116	snowpack	http://sweetontology.net/propSpaceThickness/Snowpack	Snowpack	skos:relatedMatch	HumanCurated	Y	Type difference	"In SWEET this is a thickness, in ENVO a mass"
		http://purl.obolibrary.org/obo/ENVO_01001880	subglacial	http://sweetontology.net/phenCryo/Subglacial	Subglacial	skos:relatedMatch	HumanCurated	Y	Type difference	SWEET has this in the phenomenon branch while it is a quality in ENVO
		http://purl.obolibrary.org/obo/ENVO_01001881	supraglacial	http://sweetontology.net/phenCryo/Supraglacial	Supraglacial	skos:relatedMatch	HumanCurated	Y	Type difference	SWEET has this in the phenomenon branch while it is a quality in ENVO
		http://purl.obolibrary.org/obo/ENVO_00000254	till plain	" 	

http://sweetontology.net/realmLandGlacial/TillPlain"	TillPlain	skos:relatedMatch	HumanCurated	Y	Type difference	"Despite having identical definitions, the SWEET till plain is a geometrical object; while the ENVO till plain is a material entity"
